id,name_mm,name_en,lat_long,internal_notes
1,ရန်ကုန် ဘူတာကြီး,Yangon Central Station,"16.781162, 96.161334",
2,ဘုရားလမ်း ဘူတာ,Pagoda Road (Phaya Lan) Station,"16.781280, 96.153599",
3,လမ်းမတော် ဘူတာ,Lanmadaw Station,"16.781411, 96.148009",
4,ပြည်လမ်း ဘူတာ,Pyay Road Station,"16.784382, 96.143181",
5,ရှမ်းလမ်း ဘူတာ,Shan Road Station,"16.786554, 96.134499",
6,အလုံလမ်း ဘူတာ,Ahlone Road Station,"16.790578, 96.131047",
7,ပန်းလှိုင်လမ်း ဘူတာ,Panhlaing Road Station,"16.796335, 96.128300",
8,ကြည့်မြင်တိုင် ဘူတာ,Kemmendine Station,"16.806624, 96.126363",
9,ဟံသာဝတီ ဘူတာ,Hanthawaddy Station,"16.817033, 96.126310",
10,လှည်းတန်း ဘူတာ,Hledan Station,"16.824319, 96.124926",
11,ကမာရွတ် ဘူတာ,Kamayut Station,"16.840052, 96.120269",
12,သီရိမြိုင် ဘူတာ,Thiri Myaing Station,"16.849268, 96.117753",
13,အုတ်ကျင်း ဘူတာ,Okkyin Station,"16.854874, 96.116364",
14,သမိုင်း ဘူတာ,Thamaing Station,"16.860881, 96.114798",
15,သမိုင်းမြို့သစ် ဘူတာ,Thamaing Myothit Station,"16.869233,96.112607",
16,ကြို့ကုန်း ဘူတာ,Gyogon Station,"16.874752, 96.110903",
17,အင်းစိန် ဘူတာ,Insein Station,"16.885485, 96.106837",
18,ရွာမ ဘူတာ,Ywama Station,"16.898041, 96.098908",
19,ဖော့ကန် ဘူတာ,Phawkan Station,"16.907670, 96.092848",
20,အောင်ဆန်း ဘူတာ,Aung San Station,"16.915071, 96.092976",
21,တညင်းကုန်း ဘူတာ,Danyingon Station,"16.932931, 96.093792",
22,ဂေါက်ကွင်း ဘူတာ,Golf Course Station,"16.935596, 96.104279",
23,ကျိုက်က္ကလဲ့ ဘူတာ,Kyaikkale Station,"16.940666, 96.127389",
24,မင်္ဂလာဒုံဈေး ဘူတာ,Mingaladon Bazaar Station,"16.937167, 96.138526",
25,မင်္ဂလာဒုံ ဘူတာ,Mingaladon Station,"16.930813, 96.144845",
26,ဝေဘာဂီ ဘူတာ,Waibage Station,"16.921401, 96.147152",
