id,name_mm,name2_mm,name_en,name2_en,type_name,display_order,note
1,အမှတ်(၁) အဆန်,ရန်ကုန် - မန္တလေး,1 UP,Yangon - Mandalay,စာပို့ရထား,1,ရက်ခြား
2,အမှတ်(၂) အစုန်,မန္တလေး - ရန်ကုန်,2 DOWN,Mandalay - Yangon,စာပို့ရထား,2,ရက််ခြား
3,အမှတ်(၃) အဆန်,ရန်ကုန် - မန္တလေး,3 UP,Yangon - Mandalay,အမြန်ရထား,3,နေ့စဉ်
4,အမှတ်(၄) အစုန်,မန္တလေး - ရန်ကုန်,4 DOWN,Mandalay - Yangon,အမြန်ရထား,4,နေ့စဉ်
5,အမှတ်(၅) အဆန်,ရန်ကုန် - မန္တလေး,"5 UP
",Yangon - Mandalay,အမြန်ရထား (လေအိတ်),5,နေ့စဉ်
6,အမှတ်(၆) အစုန်,မန္တလေး - ရန်ကုန်,6 DOWN,Mandalay - Yangon,အမြန်ရထား (လေအိတ်),6,နေ့စဉ်
7,အမှတ်(၁၃) အဆန်,ရန်ကုန် - ပဲခူး,13 UP,Yangon - Bago,စာပို့ရထား,7,နေ့စဉ်
8,အမှတ်(၁၄) အစုန်,ပဲခူး - ရန်ကုန်,14 DOWN,Bago - Yangon,စာပို့ရထား,8,နေ့စဉ်
9,အမှတ်(၇၁) အဆန်,ရန်ကုန် - ပြည်,71 UP,Yangon - Pyay,အမြန် ရထား,9,နေ့စဉ်
10,အမှတ်(၇၂) အစုန်,ပြည် - ရန်ကုန်,72 DOWN,Pyay - Yangon,အမြန် ရထား,10,နေ့စဉ်
11,အမှတ်(၆၁) အဆန်,ရန်ကုန် - ပုဂံ,61 UP,Yangon - Bagan,အမြန် ရထား,11,သောကြာနေ့
12,အမှတ်(၆၂) အစုန်,ပုဂံ - ရန်ကုန်,62 DOWN,,အမြန် ရထား,12,တနင်္ဂနွေနေ့
13,အမှတ်(၆၃) အဆန်,ကြည့်မြင်တိုင် - ပြည်,63 UP,,စာပို့ရထား,13,နေ့စဉ်
14,အမှတ်(၆၄) အစုန်,ပြည် - ကြည့်မြင်တိုင်,64 DOWN,,စာပို့ရထား,14,နေ့စဉ်
15,အမှတ်(၈၁) အဆန်,ရန်ကုန် - မော်လမြိုင်,81 UP,,အမြန်ရထား (လေအိတ်),15,နေ့စဉ်
16,အမှတ်(၈၂) အစုန်,မော်လမြိုင် - ရန်ကုန်,82 DOWN,,အမြန်ရထား (လေအိတ်),16,နေ့စဉ်
19,အမှတ်(၁၀၃) အဆန်,ပျဉ်းမနား - တောင်တွင်းကြီး,103 UP,,လူစီး ကုန်တင်ရထား,19,နေ့စဉ်
20,အမှတ်(၁၀၄) အစုန်,တောင်တွင်းကြီး - ပျဥ်းမနား,104 DOWN,,လူစီး ကုန်တင်ရထား,20,နေ့စဉ်
21,အမှတ်(၁၅၃) အဆန်,တောင်ကြီး - ဆိုက်ခေါင်,153 UP,,လူစီး ကုန်တင်ရထား,21,၅-ရက်ခြား
22,အမှတ်(၁၅၄) အစုန်,ဆိုက်ခေါင် - တောင်ကြီး,154 DOWN,,လူစီး ကုန်တင်ရထား,22,၅-ရက်ခြား
23,အမှတ်(၁၃၁) အဆန်,ပြင်ဦးလွင် - ဂုတ်ထိပ်,131 UP,,စာပို့ရထား,23,တနင်္ဂနွေနေ့
24,အမှတ်(၁၃၂) အစုန်,ဂုတ်ထိပ် - ပြင်ဦးလွင်,132 DOWN,,စာပို့ရထား,24,တနင်္ဂနွေနေ့
25,အမှတ်(၁၄၁) အဆန်,သာစည် - ရွှေညောင်,141 UP,,စာပို့ရထား,25,တနင်္လာနေ့
26,အမှတ်(၁၄၂) အစုန်,ရွှေညောင် - သာစည်,142 DOWN,,စာပို့ရထား,26,အင်္ဂါနေ့
27,အမှတ်(၁၈၁) အဆန်,ပုသိမ် - ကြံခင်း,181 UP,,အမြန် ရထား,27,နေ့စဉ်
28,အမှတ်(၁၈၂) အစုန်,ကြံခင်း - ပုသိမ်,182 DOWN,,အမြန် ရထား,28,နေ့စဉ်
29,အမှတ်(၁၉၅) အဆန်,လက်ပံတန်း - သာရဝေါ,195 UP,,လူစီး ကုန်တင်ရထား,29,တနင်္လာနေ့
30,အမှတ်(၁၉၆) အစုန်,သာရဝေါ - လက်ပံတန်း,196 DOWN,,လူစီး ကုန်တင်ရထား,30,တနင်္လာနေ့
31,ပြည်တော်သာ(၂),ပြည်တော်သာ - ရေချမ်းပြင်,P-2,,စာပို့ရထား,31,နေ့စဉ်
32,ပြည်တော်သာ(၁),ရေချမ်းပြင် - ပြည်တော်သာ,P-1,,စာပို့ရထား,32,နေ့စဉ်
33,ပြည်တော်သာ(၄),ပြည်တော်သာ - ရေချမ်းပြင်,P-4,,စာပို့ရထား,33,နေ့စဉ်
34,ပြည်တော်သာ(၃),ရေချမ်းပြင် - ပြည်တော်သာ,P-3,,စာပို့ရထား,34,နေ့စဉ်
38,က - ၁,အင်းစိန် - လှော်ကား လိုင်း,KA - 1,,ရန်ကုန်မြို့ပတ်ရထား,35,နေ့စဉ်
62,က - ၂,လှော်ကား - အင်းစိန် လိုင်း,KHA - 2,,ရန်ကုန်မြို့ပတ်ရထား,36,နေ့စဉ်
39,က - ၃/၄,မြို့ပတ်လိုင်း,KA - 3 /4,,ရန်ကုန်မြို့ပတ်ရထား,37,နေ့စဉ်
40,က - ၅,အင်းစိန် - ရန်ကုန် လိုင်း,KA -  5,,ရန်ကုန်မြို့ပတ်ရထား,38,နေ့စဉ်
41,က - ၆/၇,ရန်ကုန် - လှော်ကား လိုင်း,KA - 6/7,,ရန်ကုန်မြို့ပတ်ရထား,39,နေ့စဉ်
63,က - ၈,လှော်ကား - အင်းစိန် လိုင်း,KHA - 8,,ရန်ကုန်မြို့ပတ်ရထား,40,နေ့စဉ်
42,ခ - ၁/၂,မြို့ပတ်လိုင်း,KHA - 1/2,,ရန်ကုန်မြို့ပတ်ရထား,41,နေ့စဉ်
43,ခ - ၃,အင်းစိန် - ရန်ကုန် လိုင်း,KHA - 3,,ရန်ကုန်မြို့ပတ်ရထား,42,နေ့စဉ်
44,ခ - ၄,ရန်ကုန် - မင်္ဂလာဒုံ - အင်းစိန် လိုင်း,KHA - 4,,ရန်ကုန်မြို့ပတ်ရထား,43,နေ့စဉ်
45,ဂ - ၁/၂,အင်းစိန် -  ရန်ကုန် - တိုးကြောင်ကလေး လိုင်း,GA- 1/2,,ရန်ကုန်မြို့ပတ်ရထား,44,နေ့စဉ်
46,ဂ - ၄,ရန်ကုန် - တိုးကြောင်ကလေး လိုင်း,GA - 4,,ရန်ကုန်မြို့ပတ်ရထား,45,နေ့စဉ်
47,စ - ၁,အင်းစိန် - ရန်ကုန် လိုင်း,SA - 1,,ရန်ကုန်မြို့ပတ်ရထား,46,နေ့စဉ်
48,စ - ၂,မြို့ပတ်လိုင်း,SA - 2,,ရန်ကုန်မြို့ပတ်ရထား,47,နေ့စဉ်
49,စ - ၃,မြို့ပတ်လိုင်း,SA - 3,,ရန်ကုန်မြို့ပတ်ရထား,48,နေ့စဉ်
50,စ - ၄,ရန်ကုန် - မင်္ဂလာဒုံ - အင်းစိန် လိုင်း,SA - 4,,ရန်ကုန်မြို့ပတ်ရထား,49,နေ့စဉ်
51,စ - ၅,အင်းစိန် - ရန်ကုန် လိုင်း,SA - 5,,ရန်ကုန်မြို့ပတ်ရထား,50,နေ့စဉ်
52,စ - ၆,ရန်ကုန် - မင်္ဂလာဒုံ - အင်းစိန် လိုင်း,SA - 6,,ရန်ကုန်မြို့ပတ်ရထား,51,နေ့စဉ်
53,င - ၁,အင်းစိန် - ရန်ကုန် လိုင်း,NGA - 1,,ရန်ကုန်မြို့ပတ်ရထား,52,နေ့စဉ်
54,င - ၂/၃,ရန်ကုန် - အင်းစိန် - လှော်ကား လိုင်း,NGA - 2/3,,ရန်ကုန်မြို့ပတ်ရထား,53,နေ့စဉ်
56,င - ၅,အင်းစိန် - ရန်ကုန် လိုင်း,NGA - 5,,ရန်ကုန်မြို့ပတ်ရထား,54,နေ့စဉ်
57,င - ၆/၇,ရန်ကုန် - အင်းစိန် - လှော်ကား လိုင်း,NGA - 6/7,,ရန်ကုန်မြို့ပတ်ရထား,55,နေ့စဉ်
60,ဂ - ၃,တိုးကြောင်ကလေး - ရန်ကုန်လိုင်း,GA - 3,,ရန်ကုန်မြို့ပတ်ရထား,56,နေ့စဉ်
61,ဂ - ၅,တိုးကြောင်ကလေး - ရန်ကုန်လိုင်း,GA - 5,,ရန်ကုန်မြို့ပတ်ရထား,57,နေ့စဉ်
70,107-UP,တောင်တွင်းကြီး - ပုဂံ,107-UP,Taungtwingyi - Bagan,RBE (LOCAL),64,နေ့စဉ်
71,108-DN,ပုဂံ - တောင်တွင်းကြီး,108-DN,Bagan - Taungtwingyi,RBE (LOCAL),65,နေ့စဉ်
72,105-UP,ပျဥ်းမနား - တောင်တွင်းကြီး,105-UP,Pyinmana - Taungtwingyi,RBE (LOCAL),66,နေ့စဉ်
73,106-DN,တောင်တွင်းကြီး - ပျဉ်းမနား,106-DN,Taungtwingyi - Pyinmana,RBE (LOCAL),67,နေ့စဉ်
